item_id,statement_type,canonical_name,item_name_vi,sign_rule,unit,use_for_feature
bsa84,balance_sheet,asset_revaluation_surplus,Chênh lệch đánh giá lại tài sản,signed,VND,0
bsa85,balance_sheet,foreign_currency_translation_reserve,Chênh lệch tỷ giá,signed,VND,0
bsa86,balance_sheet,investment_and_development_fund,Quỹ đầu tư và phát triển,always_positive,VND,0
bsa87,balance_sheet,financial_reserve_fund,Quỹ dự phòng tài chính,always_positive,VND,0
bsa89,balance_sheet,other_funds,Quỹ khác,always_positive,VND,0
bsa9,balance_sheet,trade_receivables,Phải thu khách hàng,always_positive,VND,1
bsa90,balance_sheet,retained_earnings,Lãi chưa phân phối,signed,VND,1
bsa91,balance_sheet,enterprise_restructuring_fund,Quỹ hỗ trợ sắp xếp doanh nghiệp,always_positive,VND,0
bsa92,balance_sheet,state_capital_and_other_funds,Vốn Ngân sách nhà nước và quỹ khác,always_positive,VND,0
bsa93,balance_sheet,bonus_and_welfare_fund_pre2010,"Quỹ khen thưởng, phúc lợi (trước 2010)",always_positive,VND,0
bsa94,balance_sheet,state_budget_capital_and_other_funds,Vốn ngân sách nhà nước và quỹ khác,always_positive,VND,0
bsa95,balance_sheet,minority_interest,Lợi ích của cổ đông thiểu số,always_positive,VND,0
bsa96,balance_sheet,total_equity_and_liabilities,Tổng cộng nguồn vốn,always_positive,VND,1
bsb108,balance_sheet,held_to_maturity_investments,Đầu tư nắm giữ đến ngày đáo hạn,always_positive,VND,1
bsi141,balance_sheet,assets_pending_disposal,Tài sản thiếu cần xử lý,always_positive,VND,0
bss134,balance_sheet,branch_operating_capital,Vốn kinh doanh ở các đơn vị trực thuộc,always_positive,VND,0
cfa1,cash_flow,profit_before_tax,Lợi nhuận/(lỗ) trước thuế,signed,VND,1
cfa10,cash_flow,change_in_receivables,(Tăng)/giảm các khoản phải thu,signed,VND,1
cfa103,cash_flow,goodwill_amortization,Phân bổ lợi thế thương mại,always_positive,VND,0
cfa104,cash_flow,other_adjustments,Các khoản điều chỉnh khác,signed,VND,0
cfa105,cash_flow,change_in_trading_securities,(Tăng)/giảm chứng khoán kinh doanh,signed,VND,1
cfa11,cash_flow,change_in_inventory,(Tăng)/giảm hàng tồn kho,signed,VND,1
cfa12,cash_flow,change_in_payables,Tăng/(giảm) các khoản phải trả,signed,VND,1
cfa13,cash_flow,change_in_prepaid_expenses,(Tăng)/giảm chi phí trả trước,signed,VND,1
cfa14,cash_flow,interest_paid,Tiền lãi vay đã trả,expense_negative,VND,1
cfa15,cash_flow,income_tax_paid,Thuế thu nhập doanh nghiệp đã nộp,expense_negative,VND,1
cfa16,cash_flow,other_operating_cash_inflows,Tiền thu khác từ hoạt động kinh doanh,always_positive,VND,1
cfa17,cash_flow,other_operating_cash_outflows,Tiền chi khác cho hoạt động kinh doanh,expense_negative,VND,1
cfa18,cash_flow,net_cash_from_operating_activities,Lưu chuyển tiền tệ ròng từ các hoạt động sản xuất kinh doanh,signed,VND,1
cfa19,cash_flow,purchase_of_fixed_and_long_term_assets,"Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác",expense_negative,VND,1
cfa2,cash_flow,depreciation_and_amortization,Khấu hao TSCĐ và BĐSĐT,always_positive,VND,1
cfa20,cash_flow,proceeds_from_sale_of_fixed_and_long_term_assets,"Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác",always_positive,VND,1
cfa21,cash_flow,loans_and_debt_instruments_issued,"Tiền chi cho vay, mua các công cụ nợ của đơn vị khác",expense_negative,VND,1
cfa22,cash_flow,collection_of_loans_and_debt_instruments,"Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác",always_positive,VND,1
cfa23,cash_flow,investments_in_other_entities,Tiền chi đầu tư góp vốn vào đơn vị khác,expense_negative,VND,1
cfa24,cash_flow,proceeds_from_divestments,Tiền thu hồi đầu tư góp vốn vào đơn vị khác,always_positive,VND,1
cfa25,cash_flow,interest_and_dividends_received,"Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",signed,VND,1
cfa26,cash_flow,net_cash_from_investing_activities,Lưu chuyển tiền thuần từ hoạt động đầu tư,signed,VND,1
cfa27,cash_flow,proceeds_from_share_issuance,"Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu",always_positive,VND,1
cfa28,cash_flow,share_buyback_and_capital_repayment,"Tiền chi trả vốn góp cho các chủ sở hữu, mua lại cổ phiếu của doanh nghiệp đã phát hành",expense_negative,VND,1
cfa29,cash_flow,proceeds_from_borrowings,Tiền thu được các khoản đi vay,always_positive,VND,1
cfa3,cash_flow,provisions_expense,Chi phí dự phòng,signed,VND,1
cfa30,cash_flow,repayment_of_borrowings,Tiền trả nợ gốc vay,expense_negative,VND,1
cfa31,cash_flow,repayment_of_finance_lease_liabilities,Tiền trả nợ gốc thuê tài chính,expense_negative,VND,1
cfa32,cash_flow,dividends_paid,"Cổ tức, lợi nhuận đã trả cho chủ sở hữu",signed,VND,1
cfa33,cash_flow,interest_received,Tiền lãi đã nhận,always_positive,VND,1
cfa34,cash_flow,net_cash_from_financing_activities,Lưu chuyển tiền thuần từ hoạt động tài chính,signed,VND,1
cfa35,cash_flow,net_change_in_cash,Lưu chuyển tiền thuần trong kỳ,signed,VND,1
cfa36,cash_flow,cash_and_cash_equivalents_beginning,Tiền và tương đương tiền đầu kỳ,always_positive,VND,1
cfa37,cash_flow,effect_of_exchange_rate_changes,Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,signed,VND,1
cfa38,cash_flow,cash_and_cash_equivalents_ending,Tiền và tương đương tiền cuối kỳ,always_positive,VND,1
cfa4,cash_flow,foreign_exchange_gain_loss,Lãi/lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ,signed,VND,1
cfa5,cash_flow,gain_loss_on_disposal_of_fixed_assets,Lãi/(lỗ) từ thanh lý tài sản cố định,signed,VND,1
cfa6,cash_flow,gain_loss_from_investing_activities,(Lãi)/lỗ từ hoạt động đầu tư,signed,VND,1
cfa7,cash_flow,interest_expense,Chi phí lãi vay,signed,VND,1
cfa8,cash_flow,interest_and_dividends_income,Thu lãi và cổ tức,always_positive,VND,1
cfa9,cash_flow,operating_profit_before_working_capital_changes,Lợi nhuận/(lỗ) từ hoạt động kinh doanh trước những thay đổi vốn lưu động,signed,VND,1
isa1,income_statement,sales_revenue,Doanh thu bán hàng và cung cấp dịch vụ,always_positive,VND,1
isa10,income_statement,general_and_administrative_expenses,Chi phí quản lý doanh nghiệp,expense_negative,VND,1
isa102,income_statement,share_of_profit_loss_associates_2015,Lãi/(lỗ) từ công ty liên doanh (từ năm 2015),signed,VND,0
isa11,income_statement,operating_profit,Lãi/(lỗ) từ hoạt động kinh doanh,signed,VND,1
isa12,income_statement,other_income,Thu nhập khác,always_positive,VND,1
isa13,income_statement,other_expenses,Chi phí khác,expense_negative,VND,1
isa14,income_statement,net_other_income,"Thu nhập khác, ròng",always_positive,VND,1
isa15,income_statement,share_of_profit_loss_associates,Lãi/(lỗ) từ công ty liên doanh,signed,VND,0
isa16,income_statement,profit_before_tax,Lãi/(lỗ) trước thuế,signed,VND,1
isa17,income_statement,current_income_tax_expense,Thuế thu nhập doanh nghiệp - hiện thời,expense_negative,VND,1
isa18,income_statement,deferred_income_tax_expense,Thuế thu nhập doanh nghiệp - hoãn lại,expense_negative,VND,1
isa19,income_statement,income_tax_expense,Chi phí thuế thu nhập doanh nghiệp,expense_negative,VND,1
isa2,income_statement,sales_deductions,Các khoản giảm trừ doanh thu,expense_negative,VND,1
isa20,income_statement,net_income_after_tax,Lãi/(lỗ) thuần sau thuế,signed,VND,1
isa21,income_statement,non_controlling_interests,Lợi ích của cổ đông thiểu số,signed,VND,0
isa22,income_statement,profit_attributable_to_parent,Lợi nhuận của Cổ đông của Công ty mẹ,signed,VND,1
isa23,income_statement,basic_earnings_per_share,Lãi cơ bản trên cổ phiếu (VND),signed,VND,0
isa24,income_statement,diluted_earnings_per_share,Lãi trên cổ phiếu pha loãng (VND),signed,VND,0
isa3,income_statement,net_revenue,Doanh thu thuần,always_positive,VND,1
isa4,income_statement,cost_of_goods_sold,Giá vốn hàng bán,expense_negative,VND,1
isa5,income_statement,gross_profit,Lợi nhuận gộp,signed,VND,1
isa6,income_statement,financial_income,Doanh thu hoạt động tài chính,always_positive,VND,1
isa7,income_statement,financial_expenses,Chi phí tài chính,expense_negative,VND,1
isa8,income_statement,interest_expense,Chi phí lãi vay,expense_negative,VND,1
isa9,income_statement,selling_expenses,Chi phí bán hàng,expense_negative,VND,1
